"group_name","min_code","max_code","complex"
"Sponges",91000,91999,TRUE
"Sea whips",42000,42013,TRUE
"Jellyfish",40500,40599,TRUE
"Sea anemones",43000,43999,TRUE
"Eelpouts",24100,24499,TRUE
"Poachers",20000,20099,TRUE
"Echinoderms",80000,85999,TRUE
"Shrimps",66000,66999,TRUE
"pricklebacks",23800,23866,TRUE
"sandlance",20202,20210,TRUE
"capelin",23041,23041,FALSE
"eulachon",23010,23010,FALSE
"Pacific herring",21110,21110,FALSE
"Pacific sandfish",21592,21592,FALSE
"Sea stars",-999,-999,TRUE
"Gorgonians",-999,-999,TRUE
"Pennatulaceans",42000,42013,TRUE
"Hydrocorals",44000,44123,TRUE
"Soft corals",41100,41106,TRUE
